year,patent_count
1868,1
1872,1
1873,1
1877,4
1878,2
1885,1
1893,1
1897,1
1900,1
1901,2
1902,1
1903,5
1904,6
1905,1
1908,1
1909,1
1915,1
1918,1
1921,1
1922,1
1925,1
1929,1
1931,2
1933,1
1936,2
1938,4
1939,1
1940,3
1941,2
1943,4
1944,18
1945,19
1946,12
1947,4
1948,8
1949,10
1950,9
1951,11
1952,17
1953,11
1954,24
1955,24
1956,24
1957,18
1958,31
1959,40
1960,44
1961,61
1962,83
1963,77
1964,109
1965,124
1966,140
1967,160
1968,195
1969,305
1970,534
1971,1181
1972,2195
1973,8396
1974,38522
1975,68052
1976,71046
1977,71541
1978,71045
1979,71117
1980,72123
1981,69227
1982,70768
1983,67600
1984,73584
1985,78453
1986,81981
1987,89137
1988,98251
1989,104438
1990,108513
1991,109551
1992,113319
1993,118346
1994,135162
1995,157349
1996,158352
1997,184123
1998,183837
1999,197048
2000,214543
2001,227925
2002,228827
2003,220481
2004,221340
2005,226329
2006,231499
2007,239997
2008,241636
2009,232949
2010,247833
2011,268090
2012,293211
2013,311986
2014,321859
2015,334370
2016,346200
2017,361420
2018,366713
2019,388456
2020,365805
2021,329369
2022,269839
2023,182165
2024,74388
2025,8751
